date,value
2000-01-01,0.841470985
2000-01-02,0.873736397
2000-01-03,0.90255357
2000-01-04,0.927808777
2000-01-05,0.949402346
2000-01-06,0.967249058
2000-01-07,0.98127848
2000-01-08,0.991435244
2000-01-09,0.997679266
2000-01-10,0.999985904
2000-01-11,0.998346054
2000-01-12,0.992766189
2000-01-13,0.983268329
2000-01-14,0.969889958
2000-01-15,0.952683874
2000-01-16,0.931717983
2000-01-17,0.907075026
2000-01-18,0.878852258
2000-01-19,0.847161063
2000-01-20,0.812126509
2000-01-21,0.773886863
2000-01-22,0.73259304
2000-01-23,0.688408006
2000-01-24,0.64150614
2000-01-25,0.592072543
2000-01-26,0.540302306
2000-01-27,0.486399742
2000-01-28,0.430577581
2000-01-29,0.373056127
2000-01-30,0.314062391
2000-01-31,0.253829194
2000-02-01,0.192594249
2000-02-02,0.130599223
2000-02-03,0.068088781
2000-02-04,0.005309624
2000-02-05,-0.057490488
2000-02-06,-0.120063711
2000-02-07,-0.182163097
2000-02-08,-0.243543569
2000-02-09,-0.303962886
2000-02-10,-0.3631826
2000-02-11,-0.420968998
2000-02-12,-0.477094024
2000-02-13,-0.531336178
2000-02-14,-0.583481391
2000-02-15,-0.633323869
2000-02-16,-0.680666907
2000-02-17,-0.725323664
2000-02-18,-0.7671179
2000-02-19,-0.805884672
2000-02-20,-0.841470985
2000-02-21,-0.873736397
2000-02-22,-0.90255357
2000-02-23,-0.927808777
2000-02-24,-0.949402346
2000-02-25,-0.967249058
2000-02-26,-0.98127848
2000-02-27,-0.991435244
2000-02-28,-0.997679266
2000-02-29,-0.999985904
2000-03-01,-0.998346054
2000-03-02,-0.992766189
2000-03-03,-0.983268329
2000-03-04,-0.969889958
2000-03-05,-0.952683874
2000-03-06,-0.931717983
2000-03-07,-0.907075026
2000-03-08,-0.878852258
2000-03-09,-0.847161063
2000-03-10,-0.812126509
2000-03-11,-0.773886863
2000-03-12,-0.73259304
2000-03-13,-0.688408006
2000-03-14,-0.64150614
2000-03-15,-0.592072543
2000-03-16,-0.540302306
2000-03-17,-0.486399742
2000-03-18,-0.430577581
2000-03-19,-0.373056127
2000-03-20,-0.314062391
2000-03-21,-0.253829194
2000-03-22,-0.192594249
2000-03-23,-0.130599223
2000-03-24,-0.068088781
2000-03-25,-0.005309624
2000-03-26,0.057490488
2000-03-27,0.120063711
2000-03-28,0.182163097
2000-03-29,0.243543569
2000-03-30,0.303962886
2000-03-31,0.3631826
2000-04-01,0.420968998
2000-04-02,0.477094024
2000-04-03,0.531336178
2000-04-04,0.583481391
2000-04-05,0.633323869
2000-04-06,0.680666907
2000-04-07,0.725323664
2000-04-08,0.7671179
2000-04-09,0.805884672
2000-04-10,0.841470985
2000-04-11,0.873736397
2000-04-12,0.90255357
2000-04-13,0.927808777
2000-04-14,0.949402346
2000-04-15,0.967249058
2000-04-16,0.98127848
2000-04-17,0.991435244
2000-04-18,0.997679266
2000-04-19,0.999985904
2000-04-20,0.998346054
2000-04-21,0.992766189
2000-04-22,0.983268329
2000-04-23,0.969889958
2000-04-24,0.952683874
2000-04-25,0.931717983
2000-04-26,0.907075026
2000-04-27,0.878852258
2000-04-28,0.847161063
2000-04-29,0.812126509
2000-04-30,0.773886863
2000-05-01,0.73259304
2000-05-02,0.688408006
2000-05-03,0.64150614
2000-05-04,0.592072543
2000-05-05,0.540302306
2000-05-06,0.486399742
2000-05-07,0.430577581
2000-05-08,0.373056127
2000-05-09,0.314062391
2000-05-10,0.253829194
2000-05-11,0.192594249
2000-05-12,0.130599223
2000-05-13,0.068088781
2000-05-14,0.005309624
2000-05-15,-0.057490488
2000-05-16,-0.120063711
2000-05-17,-0.182163097
2000-05-18,-0.243543569
2000-05-19,-0.303962886
2000-05-20,-0.3631826
2000-05-21,-0.420968998
2000-05-22,-0.477094024
2000-05-23,-0.531336178
2000-05-24,-0.583481391
2000-05-25,-0.633323869
2000-05-26,-0.680666907
2000-05-27,-0.725323664
2000-05-28,-0.7671179
2000-05-29,-0.805884672
2000-05-30,-0.841470985
2000-05-31,-0.873736397
2000-06-01,-0.90255357
2000-06-02,-0.927808777
2000-06-03,-0.949402346
2000-06-04,-0.967249058
2000-06-05,-0.98127848
2000-06-06,-0.991435244
2000-06-07,-0.997679266
2000-06-08,-0.999985904
2000-06-09,-0.998346054
2000-06-10,-0.992766189
2000-06-11,-0.983268329
2000-06-12,-0.969889958
2000-06-13,-0.952683874
2000-06-14,-0.931717983
2000-06-15,-0.907075026
2000-06-16,-0.878852258
2000-06-17,-0.847161063
2000-06-18,-0.812126509
2000-06-19,-0.773886863
2000-06-20,-0.73259304
2000-06-21,-0.688408006
2000-06-22,-0.64150614
2000-06-23,-0.592072543
2000-06-24,-0.540302306
2000-06-25,-0.486399742
2000-06-26,-0.430577581
2000-06-27,-0.373056127
2000-06-28,-0.314062391
2000-06-29,-0.253829194
2000-06-30,-0.192594249
2000-07-01,-0.130599223
2000-07-02,-0.068088781
2000-07-03,-0.005309624
2000-07-04,0.057490488
2000-07-05,0.120063711
2000-07-06,0.182163097
2000-07-07,0.243543569
2000-07-08,0.303962886
2000-07-09,0.3631826
2000-07-10,0.420968998
2000-07-11,0.477094024
2000-07-12,0.531336178
